#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-05-07T20:14:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ554bc7607b0a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/552/A16&tab:{J/A+A/552/A16/limb6}&key:source=J/A+A/552/A16/limb6&HTTPPRM:&
#-source=J/A+A/552/A16/limb6
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=a1
#-out=a2
#-out=a3
#-out=a4
#-out=Filt
#-out=Met
#-out=Mod
#-out.all=2
#

#RESOURCE=yCat_35520016
#Name: J/A+A/552/A16
#Title: Limb-darkening for CoRoT, Kepler, Spitzer. II. (Claret+, 2013)
#Table	J_A_A_552_A16_limb6:
#Name: J/A+A/552/A16/limb6
#Title: Limb-darkening coefficients for the non-linear law for spherical and quasi-spherical PHOENIX models
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[5000/10000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	a1	(F10.5)	Equation 6 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F10.5)	Equation 6 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F10.5)	Equation 6 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F10.5)	Equation 6 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[L] Method (Least-Square)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs s] quasi-spherical/spherical PHOENIX model	[ucd=stat.param;meta.modelled]
logg	Teff	Z	xi	a1	a2	a3	a4	Filt	Met	Mod
[cm/s2]	K	[Sun]	km/s	 	 	 	 	 	 	
-----	------	----	----	----------	----------	----------	----------	--	-	--
 3.00	  5000	 0.0	 2.0	   2.60012	  -4.24645	   4.27644	  -1.41759	Kp	L	qs
 3.50	  5000	 0.0	 2.0	   1.28034	  -1.59066	   1.92864	  -0.65339	Kp	L	qs
 4.00	  5000	 0.0	 2.0	   0.88275	  -0.87762	   1.39338	  -0.51574	Kp	L	qs
 4.50	  5000	 0.0	 2.0	   0.70295	  -0.55414	   1.14273	  -0.44494	Kp	L	qs
 5.00	  5000	 0.0	 2.0	   0.64130	  -0.48712	   1.15900	  -0.48200	Kp	L	qs
 5.50	  5000	 0.0	 2.0	   0.48917	  -0.09877	   0.75997	  -0.34774	Kp	L	qs
 3.00	  5100	 0.0	 2.0	   2.74569	  -4.54746	   4.54597	  -1.51207	Kp	L	qs
 3.50	  5100	 0.0	 2.0	   1.35850	  -1.78045	   2.14356	  -0.75149	Kp	L	qs
 4.00	  5100	 0.0	 2.0	   0.91497	  -0.92980	   1.43054	  -0.53312	Kp	L	qs
 4.50	  5100	 0.0	 2.0	   0.71961	  -0.56909	   1.14503	  -0.45154	Kp	L	qs
 5.00	  5100	 0.0	 2.0	   0.63744	  -0.45647	   1.12403	  -0.47946	Kp	L	qs
 5.50	  5100	 0.0	 2.0	   0.48079	  -0.05193	   0.70402	  -0.33564	Kp	L	qs
 3.00	  5200	 0.0	 2.0	   2.84119	  -4.74517	   4.72148	  -1.57438	Kp	L	qs
 3.50	  5200	 0.0	 2.0	   1.40550	  -1.88142	   2.23808	  -0.79028	Kp	L	qs
 4.00	  5200	 0.0	 2.0	   0.94343	  -0.97984	   1.46927	  -0.55138	Kp	L	qs
 4.50	  5200	 0.0	 2.0	   0.73299	  -0.57914	   1.14219	  -0.45531	Kp	L	qs
 5.00	  5200	 0.0	 2.0	   0.63087	  -0.42081	   1.08205	  -0.47289	Kp	L	qs
 5.50	  5200	 0.0	 2.0	   0.57228	  -0.32482	   1.02084	  -0.46021	Kp	L	qs
 3.00	  5300	 0.0	 2.0	   3.01959	  -5.15864	   5.15325	  -1.74804	Kp	L	qs
 3.50	  5300	 0.0	 2.0	   1.45202	  -1.98242	   2.33137	  -0.82741	Kp	L	qs
 4.00	  5300	 0.0	 2.0	   0.97394	  -1.03797	   1.51618	  -0.57152	Kp	L	qs
